arch,ll_mode,experience_sharing,share_mode,use_tutee,episode,reward,steps,mastery_mean,mastery_min,completed,flat_agent_reward,n_ll_agents,share_enabled_eff,share_mode_eff,share_attempts,share_peer_samples,share_mean_peer_weight,share_eligible_peers_mean,share_selected_peers_mean,ll_reward_0,ll_reward_1,ll_reward_2,ll_reward_3,ll_reward_4,ll_reward_5,ll_reward_6,tutee_reward_total
flat,single,0,off,0,35,-0.7028482648919474,165,0.9561595320701599,0.949999988079071,1,-0.7028482648919474,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,36,-3.6355655590963427,300,0.9569157958030701,0.900126576423645,0,-3.6355655590963427,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,37,-3.804590501041077,300,0.8817205429077148,0.5098321437835693,0,-3.804590501041077,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,38,-4.0629717264644425,300,0.8743246793746948,0.3988420069217682,0,-4.0629717264644425,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,39,-4.033108053376039,300,0.8692392110824585,0.3988420069217682,0,-4.033108053376039,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,40,1.8805841533051568,43,0.9545112252235413,0.949999988079071,1,1.8805841533051568,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,41,-4.027101201334957,300,0.8539938926696777,0.25122737884521484,0,-4.027101201334957,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,42,-0.3395455325144593,145,0.9570930600166321,0.949999988079071,1,-0.3395455325144593,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,43,1.7228244788481377,52,0.9508456587791443,0.949999988079071,1,1.7228244788481377,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,44,0.051631442714363644,132,0.9544278383255005,0.949999988079071,1,0.051631442714363644,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,45,-3.735050236192534,300,0.9535138010978699,0.9023051261901855,0,-3.735050236192534,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,46,-3.904956324595873,300,0.8649334907531738,0.287149578332901,0,-3.904956324595873,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,47,-3.610496148544177,300,0.9542664885520935,0.9317924380302429,0,-3.610496148544177,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,48,-4.795582383386497,300,0.816165030002594,0.07915045320987701,0,-4.795582383386497,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,49,-4.03194555091255,300,0.82494056224823,0.2849966585636139,0,-4.03194555091255,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,50,-4.07235255795152,300,0.8554820418357849,0.25520485639572144,0,-4.07235255795152,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,51,-3.747227401482619,300,0.9484883546829224,0.8964276313781738,0,-3.747227401482619,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,52,-3.8160159668451206,300,0.9553986191749573,0.9005705118179321,0,-3.8160159668451206,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
