episode,reward,steps,mastery
105,1.0312116651868566,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
106,0.7116623856796653,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
107,1.0182709088752746,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
108,0.8962462097144454,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
109,1.0634654933488494,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
110,0.9623527255389491,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
111,0.8386859824269778,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
112,3.9845414159040957,75,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
113,1.180048114040983,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
114,1.135764671432844,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
115,1.1812385680488662,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
116,1.0970251678314527,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
117,0.9468189980005264,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
118,0.930780095238879,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
119,1.032930809010577,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
120,1.0543226788562607,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
121,1.0875892289230253,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
122,1.0616373534518062,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
123,0.8733620664133923,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
124,0.9122361069268664,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
125,1.0415243619427204,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
126,4.049985441821628,58,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
127,0.9719692751896221,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
128,0.9035835026195856,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
129,0.8980123279747204,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
130,1.0099896631829326,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
131,0.862318772051367,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
132,0.9672032054295415,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
133,0.9976333119055201,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
134,0.9569667548057624,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
135,1.013877050156589,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
136,1.0923015488748207,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
137,0.9404766450628814,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
138,0.9013733741623583,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
139,0.8432496971494403,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
140,1.0358130756692847,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
