PYTHON EXE: D:\Uni shit\Thesis\Code_New\.venv\Scripts\python.exe
torch: 2.9.1+cu126
torch cuda build: 12.6
cuda available: True
=== Training hierarchical RL tutor ===
- Number of topics: 8
- Tutee enabled:   True
         1211811 function calls (1195335 primitive calls) in 2.906 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1431    0.002    0.000    0.126    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     4567    0.002    0.000    0.002    0.000 sre_parse.py:234(__next)
     4937    0.002    0.000    0.002    0.000 inspect.py:182(ismodule)
      776    0.002    0.000    0.003    0.000 inspect.py:1349(formatannotation)
  888/140    0.002    0.000    2.162    0.015 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      289    0.002    0.000    0.053    0.000 dataclasses.py:527(_init_fn)
        1    0.002    0.002    0.628    0.628 decompositions.py:1(<module>)
     1384    0.002    0.000    0.004    0.000 inspect.py:773(getfile)
      697    0.002    0.000    0.002    0.000 inspect.py:66(get_annotations)
     1354    0.002    0.000    0.097    0.000 genericpath.py:16(exists)
    12751    0.002    0.000    0.002    0.000 {built-in method nt.fspath}
     4704    0.002    0.000    0.007    0.000 typing_extensions.py:3165(_is_unpacked_typevartuple)
       92    0.002    0.000    0.002    0.000 {method 'intersection_update' of 'set' objects}
      936    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
11401/11164    0.002    0.000    0.002    0.000 {built-in method builtins.hash}
     4802    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:897(__exit__)
     2338    0.002    0.000    0.002    0.000 functools.py:65(wraps)
     2007    0.002    0.000    0.002    0.000 _ops.py:66(__init__)
    10208    0.002    0.000    0.002    0.000 {built-in method _imp.acquire_lock}
      816    0.002    0.000    0.004    0.000 __init__.py:93(_convert_out_params)
      247    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
     1071    0.002    0.000    0.002    0.000 {built-in method nt._path_splitroot}
      686    0.002    0.000    0.003    0.000 typing.py:1284(__hash__)
     1355    0.002    0.000    0.004    0.000 dataclasses.py:824(_set_new_attribute)
     4557    0.002    0.000    0.002    0.000 sre_parse.py:165(__getitem__)
     8884    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
        7    0.001    0.000    0.002    0.000 _builtins.py:165(register_all)
      216    0.001    0.000    0.007    0.000 inspect.py:3206(__str__)
  888/223    0.001    0.000    0.002    0.000 sre_parse.py:175(getwidth)
      978    0.001    0.000    0.008    0.000 _ops.py:1185(<dictcomp>)
